id;gender;age;state;candidate
1;M;30;IA;John Green
2;M;27;ND;Violet Brown
3;F;38;LA;Violet Brown
4;M;42;NH;Violet Brown
5;F;43;AZ;Violet Brown
6;F;56;CO;Violet Brown
7;M;63;MN;Violet Brown
8;F;52;WA;Violet Brown
9;M;44;SD;John Green
10;M;34;NC;John Green
11;F;54;OH;John Green
12;F;42;NH;John Green
13;M;34;NV;John Green
14;F;52;IN;Violet Brown
15;F;18;KY;Violet Brown
16;F;56;NJ;Violet Brown
17;F;34;PA;Violet Brown
18;M;25;OK;Violet Brown
19;M;54;HI;Violet Brown
20;F;20;PA;John Green
21;F;55;KS;Violet Brown
22;F;19;WI;Violet Brown
23;F;31;AL;Violet Brown
24;F;26;WV;Violet Brown
25;F;61;MO;Violet Brown
26;M;19;AZ;Violet Brown
27;M;50;MN;John Green
28;F;24;KS;John Green
29;M;47;AK;John Green
30;F;63;NY;John Green
31;F;46;NC;John Green
32;M;29;WI;Violet Brown
33;M;66;KY;Violet Brown
34;M;55;NJ;Violet Brown
35;F;25;VA;Violet Brown
36;M;58;TN;Violet Brown
37;F;45;VT;Violet Brown
38;M;47;MI;John Green
39;F;59;MS;Violet Brown
40;F;22;UT;Violet Brown
41;F;69;WV;Violet Brown
42;F;30;OR;John Green
43;M;28;KS;Violet Brown
44;F;20;TN;Violet Brown
45;M;60;CT;Violet Brown
46;M;61;DE;John Green
47;M;18;GA;Violet Brown
48;M;68;HI;John Green
49;M;62;AZ;Violet Brown
50;F;50;NM;John Green
51;M;49;PA;Violet Brown
52;M;28;NY;John Green
53;F;27;NJ;Violet Brown
54;M;40;MS;Violet Brown
55;F;35;MO;John Green
56;M;40;VT;Violet Brown
57;M;32;PA;Violet Brown
58;M;30;MS;John Green
59;M;47;CT;Violet Brown
60;F;38;IL;Violet Brown
61;M;62;TN;John Green
62;F;38;NM;Violet Brown
63;F;33;RI;John Green
64;F;63;HI;Violet Brown
65;M;29;NJ;Violet Brown
66;F;45;ND;Violet Brown
67;F;23;OR;Violet Brown
68;M;59;MA;Violet Brown
69;M;60;KY;Violet Brown
70;M;21;OK;Violet Brown
71;M;48;PA;John Green
72;F;59;WV;Violet Brown
73;M;20;CT;John Green
74;F;49;DE;Violet Brown
75;M;50;NV;John Green
76;M;54;WI;John Green
77;F;65;SD;Violet Brown
78;M;41;VA;John Green
79;F;66;MS;Violet Brown
80;M;43;CA;John Green
81;M;52;IN;Violet Brown
82;M;56;IA;John Green
83;M;25;MN;John Green
84;M;22;NJ;Violet Brown
85;M;60;AK;Violet Brown
86;F;20;TX;Violet Brown
87;F;59;IN;John Green
88;F;48;HI;Violet Brown
89;M;68;HI;John Green
90;F;43;RI;John Green
91;F;30;DE;Violet Brown
92;M;21;NY;Violet Brown
93;F;64;IA;John Green
94;F;20;SD;Violet Brown
95;F;63;FL;John Green
96;M;18;NV;Violet Brown
97;F;68;GA;John Green
98;M;68;TN;John Green
99;M;18;WA;John Green
100;M;46;KY;John Green
101;M;53;MO;Violet Brown
102;M;59;CT;John Green
103;M;49;AL;Violet Brown
104;M;47;DE;John Green
105;M;64;AK;Violet Brown
106;F;60;IN;Violet Brown
107;F;68;ME;Violet Brown
108;F;22;MA;Violet Brown
109;M;61;MO;John Green
110;F;68;AZ;Violet Brown
111;M;50;MS;Violet Brown
112;M;49;KY;John Green
113;M;64;HI;Violet Brown
114;F;24;NV;Violet Brown
115;M;29;GA;Violet Brown
116;M;50;UT;Violet Brown
117;F;39;MO;John Green
118;M;70;WI;Violet Brown
119;M;18;DE;Violet Brown
120;F;40;MS;Violet Brown
121;F;36;NH;Violet Brown
122;F;67;IA;Violet Brown
123;F;38;KS;Violet Brown
124;M;56;TX;John Green
125;M;41;VT;Violet Brown
126;F;34;NV;John Green
127;F;66;AZ;Violet Brown
128;M;63;UT;John Green
129;M;19;AZ;Violet Brown
130;F;64;PA;Violet Brown
131;F;27;GA;Violet Brown
132;F;26;RI;John Green
133;M;67;OH;Violet Brown
134;F;45;ME;Violet Brown
135;M;55;WA;John Green
136;F;29;UT;Violet Brown
137;F;35;KS;John Green
138;M;43;AR;John Green
139;F;25;GA;Violet Brown
140;F;60;VT;John Green
141;M;54;UT;John Green
142;F;36;MD;John Green
143;F;48;SC;John Green
144;M;62;NV;John Green
145;F;32;IL;Violet Brown
146;F;35;GA;Violet Brown
147;M;55;RI;Violet Brown
148;F;43;ME;John Green
149;F;47;OH;John Green
150;M;68;GA;John Green
151;M;41;DE;Violet Brown
152;M;23;TX;John Green
153;M;20;OR;Violet Brown
154;M;34;TX;Violet Brown
155;M;33;MS;Violet Brown
156;M;48;MT;John Green
157;F;29;VT;John Green
158;M;34;NM;John Green
159;M;41;IN;John Green
160;M;26;AZ;Violet Brown
161;F;39;CA;John Green
162;M;39;NJ;Violet Brown
163;M;58;TX;John Green
164;F;63;CO;Violet Brown
165;F;45;NH;Violet Brown
166;F;66;CA;John Green
167;M;59;GA;John Green
168;F;65;GA;Violet Brown
169;M;48;UT;Violet Brown
170;F;45;HI;Violet Brown
171;F;59;ME;Violet Brown
