ID,Data,Nivel_de_conhecimento,Nota,Conteudo_abordado,Didatica_do_professor,Material_de_apoio,Espaco_do_evento,Comentario_geral
1,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Clara,Slides,Sem acústica,"O conteúdo sobre DAX foi excelente, muito bem explicado."
2,2025-03-15,Conhecimento avançado,1,Modelagem de dados,Clara,Exercícios práticos,Confortável,"Material de apoio muito bom, gostei dos vídeos."
3,2025-03-15,Conhecimento avançado,3,Introdução ao Power BI,Intermediária,Exercícios práticos,Confortável,"Achei a parte de modelagem de dados muito interessante, mas poderia ser mais prática."
4,2025-03-15,Conhecimento básico,2,Introdução ao Power BI,Intermediária,Exercícios práticos,Muito amplo,A parte de visualização de dados foi bem interessante.
5,2025-03-15,Nenhum conhecimento,4,Modelagem de dados,Objetiva,Vídeos,Muito amplo,"O evento foi bem interessante, mas o espaço poderia ser mais confortável."
6,2025-03-15,Conhecimento avançado,1,Introdução ao Power BI,Objetiva,Apostila,Com muitas cadeiras,"A palestra superou minhas expectativas, principalmente sobre DAX."
7,2025-03-15,Conhecimento avançado,3,Modelagem de dados,Clara,Documentação,Sem acústica,"Gostei dos exemplos, mas acho que poderiam ser mais realistas."
8,2025-03-15,Nenhum conhecimento,2,Introdução ao Power BI,Intermediária,Vídeos,Confortável,"O evento atendeu às minhas expectativas, mas o conteúdo poderia ser mais detalhado."
9,2025-03-15,Nenhum conhecimento,5,Conectando fontes de dados,Com muitos exemplos,Apostila,Pouco ventilado,Fiquei um pouco perdido no conteúdo sobre modelagem de dados.
10,2025-03-15,Nenhum conhecimento,1,Introdução ao Power BI,Com muitos exemplos,Vídeos,Confortável,"Muito bom, só faltaram mais exemplos sobre integração com outras ferramentas."
11,2025-03-15,Nenhum conhecimento,3,DAX e Power Query,Confusa,Slides,Confortável,Achei que o conteúdo poderia ser mais aprofundado.
12,2025-03-15,Conhecimento básico,5,Criação de dashboards,Confusa,Vídeos,Pouco ventilado,"O conteúdo foi interessante, mas muito teórico."
13,2025-03-15,Conhecimento avançado,4,Criação de dashboards,Objetiva,Apostila,Com muitas cadeiras,Poderiam ter dado mais exemplos sobre modelagem de dados.
14,2025-03-15,Nenhum conhecimento,5,Introdução ao Power BI,Com muitos exemplos,Documentação,Muito amplo,Tive dificuldade para entender algumas partes sobre Power Query.
15,2025-03-15,Conhecimento básico,5,Modelagem de dados,Confusa,Apostila,Com muitas cadeiras,Gostei muito dos exemplos práticos apresentados.
16,2025-03-15,Conhecimento básico,3,Modelagem de dados,Com muitos exemplos,Exercícios práticos,Pouco ventilado,"Achei o ritmo do evento bom, mas o conteúdo poderia ser mais avançado."
17,2025-03-15,Conhecimento avançado,4,Introdução ao Power BI,Com muitos exemplos,Exercícios práticos,Sem acústica,"O evento foi bom, mas o local não tinha boa acústica."
18,2025-03-15,Nenhum conhecimento,1,Conectando fontes de dados,Clara,Documentação,Confortável,Gostei muito dos exemplos práticos apresentados.
19,2025-03-15,Conhecimento básico,5,Modelagem de dados,Confusa,Slides,Muito amplo,"O conteúdo sobre DAX foi excelente, muito bem explicado."
20,2025-03-15,Conhecimento básico,3,Criação de dashboards,Clara,Documentação,Com muitas cadeiras,"A parte de DAX foi muito interessante, mas achei que poderia ser mais prática."
21,2025-03-15,Conhecimento avançado,3,Modelagem de dados,Com muitos exemplos,Apostila,Com muitas cadeiras,"O conteúdo sobre DAX foi excelente, muito bem explicado."
22,2025-03-15,Conhecimento básico,3,Introdução ao Power BI,Intermediária,Documentação,Pouco ventilado,Poderiam ter dado mais exemplos práticos de como usar o Power BI no dia a dia.
23,2025-03-15,Conhecimento avançado,4,DAX e Power Query,Confusa,Documentação,Muito amplo,"O material de apoio foi claro, mas faltou mais exemplos práticos."
24,2025-03-15,Conhecimento avançado,4,Conectando fontes de dados,Objetiva,Slides,Pouco ventilado,"Ótima palestra, aprendi muito!"
25,2025-03-15,Conhecimento avançado,3,DAX e Power Query,Intermediária,Slides,Com muitas cadeiras,Faltou mais tempo de prática para fixar o conteúdo.
26,2025-03-15,Conhecimento avançado,2,Conectando fontes de dados,Confusa,Vídeos,Pouco ventilado,Fiquei um pouco perdido na parte de modelagem de dados.
